0,70,135
1,73,139
2,77,149
3,80,150
4,82,156
5,87,163
6,90,173
7,94,184
8,98,192
9,106,201
10,110,210
11,113,214
12,115,221
13,118,229
14,120,240
15,140,240
16,140,159
17,200,245
18,154,246
19,89,281
20,100,356
21,250,391
22,150,325
23,142,356
24,167,260
25,97,240
26,39,250
27,81,245
28,254,268
29,168,387
30,197,359
31,183,563
32,259,259
33,348,512
34,126,510
35,564,849
36,123,256
37,345,456
38,345,653
39,425,725
40,185,365
41,274,459
42,221,428
43,219,156
44,278,782
45,235,456
46,610,942
47,254,481
48,278,465
49,10,45
